,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
103,103,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"7,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3234201,شمال,35 م, 3 سنة
104,104,محل للإيجار في طريق الخرج ، حي المدينة الصناعية الجديدة ، الرياض ، الرياض,"35,000 ريال",80 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المدينة-الصناعية-الجديدة/طريق-الخرج-حي-المدينة-الصناعية-الجديدة-الرياض-الرياض-2669254,غرب,,
105,105,"محل للإيجار في شارع السمح بن مالك, الدفاع, الرياض","80,000 ريال",240 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدفاع/شارع-السمح-بن-مالك-الدفاع-الرياض-818632,جنوب,35 م,جديد
106,106,محل للإيجار في شارع الداخلة ، حي الدار البيضاء ، الرياض ، الرياض,"15,000 ريال",40 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-الداخلة-حي-الدار-البيضاء-الرياض-الرياض-3654306,جنوب شرقي,35 م,جديد
107,107,محل للإيجار في شارع النماص ، حي العزيزية ، الرياض ، الرياض,"350,000 ريال",600 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-النماص-حي-العزيزية-الرياض-الرياض-3620420,شمال شرقي,50 م, 12 سنة
108,108,محل للإيجار في شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"60,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-3086585,غرب,40 م, 5 سنة
109,109,محل للإيجار في شارع الامام مسلم ، حي بدر ، الرياض ، الرياض,"13,000 ريال",32 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الامام-مسلم-حي-بدر-الرياض-الرياض-3250604,غرب,60 م, 15 سنة
110,110,محل للإيجار في شارع نجد ، حي المصانع ، الرياض ، الرياض,"25,000 ريال",75 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المصانع/شارع-نجد-حي-المصانع-الرياض-الرياض-3450735,شمال,25 م,جديد
111,111,محل للإيجار في شارع وادي الجزي ، حي بدر ، الرياض ، الرياض,"125,000 ريال",480 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الجزي-حي-بدر-الرياض-الرياض-3559882,شمال,60 م,جديد
112,112,محل للإيجار في طريق الخرج ، حي المدينة الصناعية الجديدة ، الرياض ، الرياض,"120,000 ريال",125 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-المدينة-الصناعية-الجديدة/طريق-الخرج-حي-المدينة-الصناعية-الجديدة-الرياض-الرياض-3561762,غرب,,
113,113,محل للإيجار في شارع الفرسان ، حي عكاظ ، الرياض ، الرياض,"60,000 ريال",60 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الفرسان-حي-عكاظ-الرياض-الرياض-3542071,شرق,30 م,جديد
114,114,محل للإيجار في حي العزيزية ، الرياض ، الرياض,"280,000 ريال",562 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-الرياض-2742325,جنوب غربي,50 م,جديد
115,115,محل للإيجار في شارع محمد رشيد رضا ، حي الدار البيضاء ، الرياض ، الرياض,"65,000 ريال",245 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-محمد-رشيد-رضا-حي-الدار-البيضاء-الرياض-الرياض-2337353,غرب,40 م, 3 سنة
