,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
58,58,محل للإيجار في شارع البلد الامين ، حي السويدي ، الرياض ، الرياض,"5,500 ريال",30 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي/شارع-البلد-الامين-حي-السويدي-الرياض-الرياض-3116255,جنوب,,
59,59,محل للإيجار في حي ، طريق السيل الكبير ، حي المهدية ، الرياض ، الرياض,"27,000 ريال",56 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-المهدية/حي-طريق-السيل-الكبير-حي-المهدية-الرياض-الرياض-3612725,شمال,60 م, 2 سنة
60,60,محل للإيجار في شارع نجم الدين الأيوبي ، حي طويق ، الرياض ، الرياض,"30,000 ريال",88 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-نجم-الدين-الأيوبي-حي-طويق-الرياض-الرياض-3226738,شمال,,
61,61,محل للإيجار في شارع المدينة المنورة ، حي العريجاء الغربية ، الرياض ، الرياض,"14,000 ريال",40 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-المدينة-المنورة-حي-العريجاء-الغربية-الرياض-الرياض-2857762,شرق,,
62,62,محل للإيجار في شارع النبع ، حي طويق ، الرياض ، الرياض,"25,000 ريال",70 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-طويق/شارع-النبع-حي-طويق-الرياض-الرياض-3747937,غرب,60 م, 5 سنة
63,63,محل للإيجار في الرياض ، حي سلطانة ، الرياض,"60,000 ريال",80 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-سلطانة/الرياض-حي-سلطانة-الرياض-3493920,شمال,40 م, 25 سنة
64,64,محل للإيجار في طريق الملك عبدالله ، حي الرائد ، الرياض ، الرياض,"34,999 ريال",88 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-الرائد/طريق-الملك-عبدالله-حي-الرائد-الرياض-الرياض-3445547,شمال,75 م, 17 سنة
65,65,محل للإيجار في طريق المدينة المنورة ، حي السويدي الغربي ، الرياض,"20,000 ريال",45 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-السويدي-الغربي/طريق-المدينة-المنورة-حي-السويدي-الغربي-الرياض-871010,شمال,40 م, 14 سنة
66,66,محل للإيجار في شارع جبل العوصاء ، حي ظهرة لبن ، الرياض ، الرياض,"10,000 ريال",48 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-جبل-العوصاء-حي-ظهرة-لبن-الرياض-الرياض-3489556,شرق,30 م,جديد
67,67,محل للإيجار في شارع لاهور ، حي ظهرة لبن ، الرياض ، الرياض,"23,000 ريال",71 م²,/محلات-للإيجار/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-لاهور-حي-ظهرة-لبن-الرياض-الرياض-3360482,جنوب,,
