,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
293,293,محل للإيجار في حي ، شارع الامير بندر بن عبدالعزيز ، حي الملك فيصل ، الرياض ، الرياض,"32,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملك-فيصل/حي-شارع-الامير-بندر-بن-عبدالعزيز-حي-الملك-فيصل-الرياض-الرياض-3399377,جنوب,40 م,جديد
294,294,محل للإيجار في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي اليرموك ، الرياض ، الرياض,"650,000 ريال",875 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/طريق-الإمام-عبدالله-بن-سعود-بن-عبدالعزيز-حي-اليرموك-الرياض-الرياض-3601632,جنوب,20 م, 6 سنة
295,295,محل للإيجار في شارع الجزيرة الخضراء ، حي الندوة ، الرياض ، الرياض,"12,000 ريال",48 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النظيم/شارع-الجزيرة-الخضراء-حي-الندوة-الرياض-الرياض-3460643,جنوب,35 م, 7 سنة
296,296,محل للإيجار في طريق سعيد ابن زيد ، حي قرطبة ، الرياض ، الرياض,"45,000 ريال",64 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/طريق-سعيد-ابن-زيد-حي-قرطبة-الرياض-الرياض-3636460,شمال شرقي,60 م, 3 سنة
297,297,محل للإيجار في محطة كهرباء حي قرطبة ، طريق سعيد ابن زيد ، حي قرطبة ، الرياض ، الرياض,"180,000 ريال",270 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/محطة-كهرباء-حي-قرطبة-طريق-سعيد-ابن-زيد-حي-قرطبة-الرياض-الرياض-3721208,شمال غربي,80 م, 7 سنة
298,298,محل للإيجار في حي ، شارع راس العين ، حي النسيم الغربي ، الرياض ، الرياض,"1,800,000 ريال",5600 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/حي-شارع-راس-العين-حي-النسيم-الغربي-الرياض-الرياض-3528147,جنوب شرقي,100 م, 8 سنة
299,299,محل للإيجار في الرياض ، حي الملز ، الرياض,"30,000 ريال",21 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/الرياض-حي-الملز-الرياض-3342035,شرق,20 م, 15 سنة
300,300,محل للإيجار في حي ، شارع اسامة بن زيد ، حي النسيم الغربي ، الرياض ، الرياض,"8,000 ريال",40 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/حي-شارع-اسامة-بن-زيد-حي-النسيم-الغربي-الرياض-الرياض-3336328,شرق,30 م, 18 سنة
301,301,محل للإيجار في طريق صلاح الدين الأيوبي ، حي الملز ، الرياض ، الرياض,"100,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الملز/طريق-صلاح-الدين-الأيوبي-حي-الملز-الرياض-الرياض-3713908,غرب,60 م, 20 سنة
302,302,محل للإيجار في شارع سعد بن ابي وقاص ، الرياض,"12,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/شارع-سعد-بن-ابي-وقاص-الرياض-1739911,جنوب شرقي,40 م, 36 سنة
303,303,محل للإيجار في شارع محمد بن إسماعيل الصنعاني ، حي الخليج ، الرياض ، الرياض,"14,000 ريال",32 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-محمد-بن-إسماعيل-الصنعاني-حي-الخليج-الرياض-الرياض-3493638,جنوب,40 م,جديد
304,304,محل للإيجار في شارع سعيد الحاجب ، حي الرمال ، الرياض ، الرياض,"50,000 ريال",16 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-سعيد-الحاجب-حي-الرمال-الرياض-الرياض-3463527,شرق,30 م,جديد
305,305,محل للإيجار في حي المونسية ، الرياض ، الرياض,"20,000 ريال",90 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/حي-المونسية-الرياض-الرياض-3488184,شرق,35 م, 5 سنة
306,306,محل للإيجار في طريق الأمير ماجد بن عبدالعزيز ، حي الريان ، الرياض ، الرياض,"16,000 ريال",32 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الريان/طريق-الأمير-ماجد-بن-عبدالعزيز-حي-الريان-الرياض-الرياض-3664702,شمال,5 م, 20 سنة
307,307,محل للإيجار في شارع وادي السرح ، حي القادسية ، الرياض ، الرياض,"700,000 ريال",1600 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-القادسية/شارع-وادي-السرح-حي-القادسية-الرياض-الرياض-3744554,غرب,40 م,جديد
308,308,محل للإيجار في شارع ابن الهيثم ، حي الخليج ، الرياض ، الرياض,"12,000 ريال",32 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-ابن-الهيثم-حي-الخليج-الرياض-الرياض-3493641,جنوب,40 م,جديد
309,309,محل للإيجار في حي ، شارع جبل مرة ، حي النسيم الشرقي ، الرياض ، الرياض,"40,000 ريال",78 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الشرقي/حي-شارع-جبل-مرة-حي-النسيم-الشرقي-الرياض-الرياض-3631398,غرب,40 م, 25 سنة
310,310,محل للإيجار في شارع عبدالله بن مسعود ، حي النسيم الغربي ، الرياض ، الرياض,"6,000 ريال",30 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/شارع-عبدالله-بن-مسعود-حي-النسيم-الغربي-الرياض-الرياض-2849716,غرب,,
311,311,محل للإيجار في طريق الشيخ حسن بن حسين بن علي ، حي اليرموك ، الرياض ، الرياض,"60,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/طريق-الشيخ-حسن-بن-حسين-بن-علي-حي-اليرموك-الرياض-الرياض-3121344,غرب,,
312,312,محل للإيجار في شارع رقم 275 ، حي المونسية ، الرياض ، الرياض,"26,000 ريال",60 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-275-حي-المونسية-الرياض-الرياض-3667636,شرق,,
313,313,محل للإيجار في شارع حفصة بنت عمر ، حي الروضة ، الرياض ، الرياض,"13,000 ريال",40 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الروضة/شارع-حفصة-بنت-عمر-حي-الروضة-الرياض-الرياض-3666013,شمال,,
314,314,محل للإيجار في شارع الجبيل ، حي الخليج ، الرياض ، الرياض,"16,000 ريال",40 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الخليج/شارع-الجبيل-حي-الخليج-الرياض-الرياض-3734812,غرب,,
315,315,محل للإيجار في شارع الصحابة ، حي اشبيلية ، الرياض ، الرياض,"100,000 ريال",114 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الصحابة-حي-اشبيلية-الرياض-الرياض-3684275,شمال,40 م, 5 سنة
316,316,محل للإيجار في شارع ابي الفتوح الخباز ، حي اليرموك ، الرياض ، الرياض,"250,000 ريال",250 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-ابي-الفتوح-الخباز-حي-اليرموك-الرياض-الرياض-3531189,شمال شرقي,36 م,جديد
317,317,محل للإيجار في الرياض ، حي اليرموك ، الرياض,"30,000 ريال",50 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/الرياض-حي-اليرموك-الرياض-3645167,غرب,60 م, 3 سنة
318,318,محل للإيجار في شارع ، شارع عبدالمحسن ابا بطين ، حي النسيم الشرقي ، الرياض ، الرياض,"15,000 ريال",80 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-شارع-عبدالمحسن-ابا-بطين-حي-النسيم-الشرقي-الرياض-الرياض-3597029,جنوب,30 م, 3 سنة
319,319,محل للإيجار في حي ، طريق عثمان بن عفان الفرعي ، حي الازدهار ، الرياض ، الرياض,"200,000 ريال",200 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الازدهار/حي-طريق-عثمان-بن-عفان-الفرعي-حي-الازدهار-الرياض-الرياض-3210054,شمال غربي,60 م, 8 سنة
320,320,محل للإيجار في شارع الصحابة ، حي اليرموك ، الرياض ، الرياض,"50,000 ريال",80 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-الصحابة-حي-اليرموك-الرياض-الرياض-3683359,غرب,60 م, 10 سنة
321,321,محل للإيجار في حي اشبيلية ، الرياض ، الرياض,"35,000 ريال",118 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اشبيلية/حي-اشبيلية-الرياض-الرياض-3620485,شرق,,
322,322,محل للإيجار في شارع أبي الدرداء -رضي الله عنه- ، حي الروضة ، الرياض ، الرياض,"55,000 ريال",145 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الروضة/شارع-أبي-الدرداء--رضي-الله-عنه--حي-الروضة-الرياض-الرياض-3677084,جنوب,30 م, 25 سنة
323,323,محل للإيجار في شارع عامر بن عوف ، حي اشبيلية ، الرياض ، الرياض,"80,000 ريال",112 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اشبيلية/شارع-عامر-بن-عوف-حي-اشبيلية-الرياض-الرياض-3684280,شمال,40 م, 3 سنة
324,324,محل للإيجار في شارع عبدالله المويس ، حي الرمال ، الرياض ، الرياض,"75,000 ريال",188 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالله-المويس-حي-الرمال-الرياض-الرياض-3513328,شمال,30 م, 2 سنة
325,325,محل للإيجار في شارع الحليلة ، حي اليرموك ، الرياض ، الرياض,"2,800 ريال",100 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-الحليلة-حي-اليرموك-الرياض-الرياض-3744007,غرب,61 م,جديد
326,326,محل للإيجار في حي المونسية ، الرياض ، الرياض,"15,000 ريال",45 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/حي-المونسية-الرياض-الرياض-3681704,جنوب,,
327,327,محل للإيجار في شارع الصحابة ، حي اليرموك ، الرياض ، الرياض,"70,000 ريال",176 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-اليرموك/شارع-الصحابة-حي-اليرموك-الرياض-الرياض-3645146,شرق,,
328,328,محل للإيجار في حي المونسية ، الرياض ، الرياض,"14,000 ريال",32 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-المونسية/حي-المونسية-الرياض-الرياض-3380555,شمال,36 م, 3 سنة
329,329,محل للإيجار في حي قرطبة ، الرياض ، الرياض,"28,000 ريال",39 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-قرطبة/حي-قرطبة-الرياض-الرياض-3643605,جنوب,30 م, 2 سنة
330,330,محل للإيجار في حي ، شارع راس العين ، حي النسيم الغربي ، الرياض ، الرياض,"1,800,000 ريال",5600 م²,/محلات-للإيجار/الرياض/شرق-الرياض/حي-النسيم-الغربي/حي-شارع-راس-العين-حي-النسيم-الغربي-الرياض-الرياض-3528147,جنوب شرقي,100 م, 8 سنة
