,Unnamed: 0,Unnamed: 0.1,shoptitle,prices,areaa,links,front,street_width,age
219,219,219,محل للإيجار في شارع العليا ، حي العليا ، الرياض ، الرياض,"250,000 ريال",300 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/شارع-العليا-حي-العليا-الرياض-الرياض-3615388,3 شوارع,15 م, 15 سنة
220,220,220,محل للإيجار في حي العليا ، الرياض ، الرياض,"845,000 ريال",530 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/حي-العليا-الرياض-الرياض-3519159,شمال,,
221,221,221,محل للإيجار في حي العليا ، الرياض ، الرياض,"1,600,000 ريال",800 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/حي-العليا-الرياض-الرياض-3628095,جنوب,5 م, 11 سنة
222,222,222,محل للإيجار في طريق الأمير محمد بن عبدالعزيز ، حي العليا ، الرياض ، الرياض,"1,600,000 ريال",850 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/طريق-الأمير-محمد-بن-عبدالعزيز-حي-العليا-الرياض-الرياض-3629018,شمال,,
223,223,223,محل للإيجار في حي القيروان ، الرياض ، الرياض,"60,000 ريال",900 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-القيروان/حي-القيروان-الرياض-الرياض-3565831,شرق,60 م, 6 سنة
224,224,224,محل للإيجار في شارع الامير مقرن بن عبدالعزيز ، حي النزهة ، الرياض ، الرياض,"100,000 ريال",80 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النزهة/شارع-الامير-مقرن-بن-عبدالعزيز-حي-النزهة-الرياض-الرياض-3462890,جنوب غربي,40 م, 6 سنة
225,225,225,محل للإيجار في حي العليا ، الرياض ، الرياض,"742,000 ريال",530 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/حي-العليا-الرياض-الرياض-3522064,شمال غربي,30 م, 5 سنة
226,226,226,محل للإيجار في طريق الأمير سلطان بن عبدالعزيز ، حي العليا ، الرياض ، الرياض,"160,000 ريال",200 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/طريق-الأمير-سلطان-بن-عبدالعزيز-حي-العليا-الرياض-الرياض-3391167,شمال,30 م, 30 سنة
227,227,227,محل للإيجار في شارع الامير تركي بن عبدالعزيز الثاني ، حي المروج ، الرياض ، الرياض,"70,000 ريال",140 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المروج/شارع-الامير-تركي-بن-عبدالعزيز-الثاني-حي-المروج-الرياض-الرياض-3766565,شمال,5 م,جديد
228,228,228,محل للإيجار في طريق الأمير تركي بن عبدالعزيز الأول ، حي النخيل ، الرياض ، الرياض,"400,000 ريال",225 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النخيل/طريق-الأمير-تركي-بن-عبدالعزيز-الأول-حي-النخيل-الرياض-الرياض-3501999,شمال,60 م, 15 سنة
229,229,229,محل للإيجار في الرياض ، حي العارض ، الرياض,"23,000 ريال",48 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/الرياض-حي-العارض-الرياض-3699659,جنوب,30 م,جديد
230,230,230,محل للإيجار في طريق الإمام سعود بن عبدالعزيز بن محمد ، حي المرسلات ، الرياض ، الرياض,"300,000 ريال",240 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المرسلات/طريق-الإمام-سعود-بن-عبدالعزيز-بن-محمد-حي-المرسلات-الرياض-الرياض-3693824,شمال,60 م, 20 سنة
231,231,231,محل للإيجار في حي النرجس ، الرياض ، الرياض,"93,600 ريال",117 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النرجس/حي-النرجس-الرياض-الرياض-3631781,غرب,60 م, 3 سنة
232,232,232,محل للإيجار في حي النفل ، الرياض ، الرياض,"50,000 ريال",40 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النفل/حي-النفل-الرياض-الرياض-3731445,جنوب,29 م, 12 سنة
233,233,233,محل للإيجار في الرياض ، حي العقيق ، الرياض,"20,000 ريال",32 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العقيق/الرياض-حي-العقيق-الرياض-3544364,شرق,30 م, 20 سنة
234,234,234,محل للإيجار في حي ، طريق ابي بكر الصديق ، حي العارض ، الرياض ، الرياض,"200,000 ريال",700 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-طريق-ابي-بكر-الصديق-حي-العارض-الرياض-الرياض-3599730,جنوب شرقي,60 م,جديد
235,235,235,محل للإيجار في طريق عثمان بن عفان الفرعي ، حي النرجس ، الرياض ، الرياض,"113,000 ريال",120 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-النرجس/طريق-عثمان-بن-عفان-الفرعي-حي-النرجس-الرياض-الرياض-3758298,شرق,,
236,236,236,محل للإيجار في الرياض ، حي الياسمين ، الرياض,"250,000 ريال",200 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الياسمين/الرياض-حي-الياسمين-الرياض-3525105,غرب,40 م, 12 سنة
237,237,237,محل للإيجار في شارع الامير جلوي بن تركي بن عبدالله ، حي المروج ، الرياض ، الرياض,"120,000 ريال",12 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المروج/شارع-الامير-جلوي-بن-تركي-بن-عبدالله-حي-المروج-الرياض-الرياض-3647064,شرق,,
238,238,238,محل للإيجار في حي ، شارع عبدالله بن العاص ، حي العارض ، الرياض ، الرياض,"150,000 ريال",19 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-عبدالله-بن-العاص-حي-العارض-الرياض-الرياض-3573282,شرق,,
239,239,239,محل للإيجار في شارع قراء ، حي المروج ، الرياض ، الرياض,"60,000 ريال",112 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المروج/شارع-قراء-حي-المروج-الرياض-الرياض-3554349,شمال,5 م,جديد
240,240,240,محل للإيجار في شارع الأمير سلطان بن سلمان بن عبدالعزيز ، حي الورود ، الرياض ، الرياض,"110,000 ريال",120 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الورود/شارع-الأمير-سلطان-بن-سلمان-بن-عبدالعزيز-حي-الورود-الرياض-الرياض-3743920,جنوب,,
241,241,241,محل للإيجار في شارع اسماء بنت مالك ، حي العارض ، الرياض ، الرياض,"80,000 ريال",210 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/شارع-اسماء-بنت-مالك-حي-العارض-الرياض-الرياض-3392462,جنوب,30 م,جديد
242,242,242,محل للإيجار في حي ، شارع ثعلبه بن سعد الخزرجي ، حي العارض ، الرياض ، الرياض,"35,000 ريال",60 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العارض/حي-شارع-ثعلبه-بن-سعد-الخزرجي-حي-العارض-الرياض-الرياض-3682363,شمال,25 م,جديد
243,243,243,محل للإيجار في حي الياسمين ، الرياض ، الرياض,"80,000 ريال",100 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الياسمين/حي-الياسمين-الرياض-الرياض-3732702,شرق,,
244,244,244,محل للإيجار في شارع العليا ، حي العليا ، الرياض ، الرياض,"848,000 ريال",530 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/شارع-العليا-حي-العليا-الرياض-الرياض-3514826,شمال,5 م,جديد
245,245,245,محل للإيجار في الطريق الدائري الشمالي الفرعي ، حي المروج ، الرياض ، الرياض,"1,500 ريال",2600 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-المروج/الطريق-الدائري-الشمالي-الفرعي-حي-المروج-الرياض-الرياض-3360742,شمال,50 م, 15 سنة
246,246,246,محل للإيجار في طريق الأمير محمد بن عبدالعزيز ، حي السليمانية ، الرياض ، الرياض,"900,000 ريال",600 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-السليمانية/طريق-الأمير-محمد-بن-عبدالعزيز-حي-السليمانية-الرياض-الرياض-3740696,جنوب,40 م, 15 سنة
247,247,247,محل للإيجار في شارع الامير سعود بن عبدالله بن جلوي ، حي القيروان ، الرياض ، الرياض,"100,000 ريال",78 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-القيروان/شارع-الامير-سعود-بن-عبدالله-بن-جلوي-حي-القيروان-الرياض-الرياض-3647490,شمال,60 م,جديد
248,248,248,محل للإيجار في حي الربيع ، الرياض ، الرياض,"204,000 ريال",215 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-الربيع/حي-الربيع-الرياض-الرياض-3556826,شرق,100 م, 6 سنة
249,249,249,محل للإيجار في حي العليا ، الرياض ، الرياض,"374,000 ريال",343 م²,/محلات-للإيجار/الرياض/شمال-الرياض/حي-العليا/حي-العليا-الرياض-الرياض-3667916,شرق,36 م,جديد
